ID X Y Arenoso Desgrasante_Gris Desgrasante_Tiesto Funza_Cuarzo_Abundante Funza_Cuarzo_Fino Guatavita_Desgrasante_Tiesto Tipo_Indeterminado Laminar_Duro Montalvo_Negro_sobre_Rojo Mosquera_Roca_Triturada Mosquera_Rojo_Inciso NA Pubenza_Policromo Pubenza_Rojo_Bañado Raquira Roca_Triturada Suta_Arenoso Tunjuelo_Laminar Valle_De_Tenza_Gris Vidriado Zipaquira_Desgrasante_Tiesto Zipaquira_Rojo_Sobre_Crema Total_Ceramica Copa Cuenco Figurina Forma_Indeterminada Jarra Mucura Ofrendatario Olla Olla_cuenco Paila Pesa_de_red Plato Volante_de_Huso Colonia Colonial_total_ponderado Herrera Herrera_ponderado Herrera_Foraneo Herrera_Foraneo_ponderado Herrera_total_ponderado Periodo_Indeterminado Tardio Tardio_ponderado Tardio_Foraneo Tardio_Foraneo_ponderado Tardio_total_ponderado Temprano Temprano_ponderado Temprano_Foraneo Temprano_Foraneo_ponderado Temprano_total_ponderado Vidriado4 Copa_Herrera Copa_Herrera_Foraneo Copa_NA Copa_Tardio Copa_Tardio_Foraneo Copa_Temprano Cuenco_Colonia Cuenco_Herrera Cuenco_Herrera_Foraneo Cuenco_Indeterminado Cuenco_NA Cuenco_Tardio Cuenco_Tardio_Foraneo Cuenco_Temprano Cuenco_Temprano_Foraneo Cuenco_Vidriado Figurina_Herrera Figurina_Tardio Figurina_Temprano Indeterminado_Colonia Indeterminado_Herrera Indeterminado_Tardio Indeterminado_Tardio_Foraneo Indeterminado_Temprano Indeterminado_Temprano_Foraneo Jarra_Herrera Jarra_Tardio Jarra_Tardio_Foraneo Jarra_Temprano Mucura_Herrera Mucura_Tardio Mucura_Temprano Ofrendatario_Herrera Olla_Colonia Olla_cuenco_Temprano Olla_Herrera Olla_Herrera_Foraneo Olla_Indeterminado Olla_NA Olla_Tardio Olla_Tardio_Foraneo Olla_Temprano Olla_Temprano_Foraneo Olla_Vidriado Paila_Temprano Pesa_de_red_Temprano Plato_Herrera Plato_Tardio Plato_Temprano Plato_Temprano_Foraneo Plato_Vidriado Volante_de_Huso_Herrera Volante_de_Huso_Tardio Decorado No_decorado Colonia_Decorado Colonia_No_decorado Herrera_Decorado Herrera_Foraneo_Decorado Herrera_Foraneo_No_decorado Herrera_No_decorado Indeterminado_Decorado Indeterminado_No_decorado Tardio_Decorado Tardio_Foraneo_Decorado Tardio_Foraneo_No_decorado Tardio_No_decorado Temprano_Decorado Temprano_Foraneo_Decorado Temprano_Foraneo_No_decorado Temprano_No_decorado Vidriado_Decorado Vidriado_No_decorado
26.G3 977217.1217 997410.8407 0 0 0 11 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 12 34 0 27 0 0 1 0 0 6 0 0 0 0 0 0 0 23 0.038333333 0 0 0.038333333 0 0 0 0 0 0 11 0.01375 0 0 0.01375 0 0 0 0 0 0 0 0 23 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 23 11 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0
46.F7 977131.2277 997473.9119 0 11 0 11 0 0 0 0 0 11 1 0 0 0 0 0 0 0 0 0 0 0 34 0 19 0 0 1 0 0 14 0 0 0 0 0 0 0 12 0.02 0 0 0.02 0 11 0.018333333 0 0 0.018333333 11 0.01375 0 0 0.01375 0 0 0 0 0 0 0 0 8 0 0 0 4 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 0 0 0 7 0 3 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 12 0 0 0 0 0 11 0 0 0 11 0 0
73A.A7 977098.6302 997331.8504 0 0 0 3 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 25 34 0 29 0 0 0 0 0 5 0 0 0 0 0 0 0 31 0.051666667 0 0 0.051666667 0 0 0 0 0 0 3 0.00375 0 0 0.00375 0 0 0 0 0 0 0 0 28 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 12 22 0 0 12 0 0 19 0 0 0 0 0 0 0 0 0 3 0 0
12A.H7 977137.0336 997450.4572 0 2 0 19 0 6 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 33 0 23 0 0 0 0 0 10 0 0 0 0 0 0 0 6 0.01 0 0 0.01 0 8 0.013333333 0 0 0.013333333 19 0.02375 0 0 0.02375 0 0 0 0 0 0 0 0 4 0 0 0 6 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 6 0 0 0 0 0 0 0 0 0 0 0 1 32 0 0 0 0 0 6 0 0 1 0 0 7 0 0 0 19 0 0
16.C9 977213.212 997459.2947 0 12 0 0 0 0 0 0 0 12 6 0 0 3 0 0 0 0 0 0 0 0 33 0 18 0 0 3 0 0 12 0 0 0 0 0 0 0 18 0.03 0 0 0.03 0 12 0.02 0 0 0.02 0 0 3 0.00375 0.00375 0 0 0 0 0 0 0 0 15 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3 0 0 0 6 0 0 3 0 0 0 0 0 0 0 0 0 0 13 20 0 0 10 0 0 8 0 0 1 0 0 11 0 2 1 0 0 0
54.A6 977125.8551 997421.0456 0 4 0 10 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 2 33 0 21 0 0 0 0 0 12 0 0 0 0 0 0 0 19 0.031666667 0 0 0.031666667 0 4 0.006666667 0 0 0.006666667 10 0.0125 0 0 0.0125 0 0 0 0 0 0 0 0 13 0 0 0 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 19 0 0 0 0 0 4 0 0 0 10 0 0
11.A13 977166.7335 997401.9989 0 8 0 0 0 8 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 32 0 24 0 0 0 0 0 8 0 0 0 0 0 0 0 16 0.026666667 0 0 0.026666667 0 16 0.026666667 0 0 0.026666667 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 16 0 0 0 0 0 16 0 0 0 0 0 0
11.E12 977165.1617 997393.8618 0 0 0 4 0 0 0 0 0 24 4 0 0 0 0 0 0 0 0 0 0 0 32 0 16 0 2 0 0 0 14 0 0 0 0 0 0 0 28 0.046666667 0 0 0.046666667 0 0 0 0 0 0 4 0.005 0 0 0.005 0 0 0 0 0 0 0 0 15 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 4 0 0
20.H1 977056.5052 997409.9057 0 9 0 15 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 6 32 0 12 0 0 0 0 0 20 0 0 0 0 0 0 0 8 0.013333333 0 0 0.013333333 0 9 0.015 0 0 0.015 15 0.01875 0 0 0.01875 0 0 0 0 0 0 0 0 6 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5 0 13 0 0 0 0 0 0 0 0 0 0 0 5 27 0 0 3 0 0 5 0 0 2 0 0 7 0 0 0 15 0 0
16.B7 977216.6035 997462.2045 0 7 0 7 0 2 0 0 0 8 6 0 0 0 0 0 0 0 0 0 0 0 30 0 20 0 0 0 0 0 10 0 0 0 0 0 0 0 14 0.023333333 0 0 0.023333333 0 9 0.015 0 0 0.015 7 0.00875 0 0 0.00875 0 0 0 0 0 0 0 0 12 0 0 0 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 5 0 3 0 0 0 0 0 0 0 0 0 0 0 2 28 0 0 2 0 0 12 0 0 0 0 0 9 0 0 0 7 0 0
