ID X Y
28.22.0.1.0. 977154.2746 997526.8048
28.23.7.0.1. 977153.528 997524.9416
28.25.19.0.1. 977158.0597 997526.2007
28.27.20.0.1. 977162.0278 997526.8126
28.29.26.0.1. 977167.8516 997529.2897
28.29.26.0.2. 977167.9235 997529.1731
28.3.16.0.1. 977167.3609 997533.8887
28.32.10.0.1. 977164.613 997523.8058
28.33.34.30.0.1. 977161.4319 997523.6399
28.35.29.0.1. 977160.8025 997522.1209
28.36.2.0.1. 977158.5088 997522.4022
28.39.21.0.1. 977153.9064 997522.3129
28.42.1.0.1. 977155.0469 997521.1718
28.4A.4B.14.0.1. 977163.0745 997533.8354
28.55.6.0.1. 977155.5692 997526.1086
28.6.28.0.1. 977152.6935 997531.5211
28.62.22.0.1. 977161.3839 997520.0224
28.63.64.24.0.1. 977162.1262 997520.8988
28.63.64.24.0.2. 977162.1466 997520.8626
28.64A.25.0.1. 977162.9829 997520.7158
28.65.12.0.1. 977164.6736 997522.3563
28.67.32.0.1. 977157.527 997517.3277
28.68.13.0.1. 977157.7056 997518.272
28.78.3.0.1. 977161.6273 997517.6208
28.79.9.0.1. 977161.1836 997518.6155
28.80.4.0.1. 977162.524 997518.1753
28.81.27.0.1. 977162.1028 997516.846
28.83.8.0.1. 977163.9787 997518.9156
28.84.15.0.1. 977164.7781 997521.3065
28.87.18.0.1. 977169.0181 997531.7339
28.88.31.0.1. 977161.2703 997529.8619
29.11.22.0.1. 977162.4504 997496.0467
29.12.0.2.0. 977170.279 997514.423
29.13.16.0.1. 977165.8231 997496.5143
29.14.19.0.1. 977167.8794 997497.8033
29.15.20.0.1. 977174.6087 997499.2054
29.25.2.0.1. 977163.5043 997499.0719
29.3.1.0.1. 977167.3186 997495.3388
29.31.3.0.1. 977160.1934 997497.1925
29.34.0.1.0. 977159.373 997499.1048
29.36.8.0.1. 977162.5564 997500.7513
29.4.5.21.0.1. 977162.1826 997494.4581
29.41.17.0.1. 977166.3672 997503.5371
29.45.12.0.1. 977158.7802 997504.8945
29.45.12.0.2. 977158.6993 997504.9737
29.46.13.0.1. 977157.5915 997503.1268
29.55.9.0.1. 977170.3246 997506.6193
29.57.5.0.1. 977164.3832 997507.4797
29.60.15.0.1. 977157.1936 997507.0417
29.64.18.0.1. 977159.8146 997507.2279
29.65.4.0.1. 977161.1322 997508.3661
29.66.6.0.1. 977163.114 997508.675
29.67.69.7.0.1. 977165.5634 997509.5548
29.78.14.0.1. 977159.6872 997508.6833
29.81.10.0.1. 977157.0321 997512.1974
29.81.10.0.2. 977156.9033 997511.9089
29.82.11.0.1. 977158.0558 997510.5678
30.10.12.0.1. 977169.6721 997491.3237
30.108.9.0.1. 977168.5621 997485.6777
30.109.10.0.1. 977164.2421 997485.0567
30.115.119.8.0.1. 977165.5047 997487.6622
30.126.1.0.1. 977178.2467 997488.1289
30.127.17.0.1. 977180.37 997491.6359
