ID X Y
18.31.3.8 977193.9479 997460.5358
18.32.6.21 977197.2313 997461.8893
18.33.5.15 977193.2831 997460.2999
18.4.5.19 977202.543 997470.5286
18.7.6.24 977193.6048 997473.4531
18.9.6.24 977202.1298 997472.9296
19.10.6.21 977192.8017 997458.6207
19.12.3.8 977200.8057 997448.6998
19.14.6.21 977199.1661 997459.5371
19.15.6.21 977201.1877 997459.8246
19.18.3.13 977201.3699 997456.1618
19.2.6.21 977210.4914 997447.694
19.20.5.19 977204.1937 997453.9196
19.21.6.24 977195.6814 997454.4748
19.24.3.11 977208.4376 997449.6718
19.25.3.11 977194.5388 997450.7792
19.28.5.15 977196.9717 997447.3133
19.30.6.21 977191.8035 997452.6419
19.31.3.8 977211.9935 997444.1191
19.32.3.7.1 977194.995 997441.1384
19.33.6.22 977202.5813 997447.0573
19.34.6.20 977198.7885 997446.7808
19.37.5.15 977196.3239 997444.6014
19.5.5.15 977198.2846 997458.5472
19.7.5.15 977203.1337 997449.595
2.1.3.9 977161.1566 997481.0108
20.1.5.16 977052.366 997423.9711
20.12.6.24 977053.573 997421.5131
20.14.3.8 977050.3221 997421.0435
20.15.5.19 977047.4989 997416.523
20.16.5.15 977043.2786 997418.3176
20.2.5.15 977050.0113 997423.6747
20.20.6.21 977054.3788 997411.8113
20.22.6.24 977050.6111 997408.9812
20.24.5.19 977042.3727 997410.809
20.27.3.9 977052.8144 997415.4011
20.4.5.15 977050.7298 997423.9083
20.5.6.21 977048.7233 997423.2081
20.6.6.24 977048.1028 997422.1868
20.7.6.24 977046.9534 997422.508
20.8.6.24 977046.1739 997421.6579
20A.2.5.15 977049.0921 997434.8631
20A.3.6.21 977051.2836 997430.15
20A.5.6.24 977049.5057 997429.5857
20A.8.3.8 977034.8749 997420.6599
21.19.6.20 977238.5309 997426.6339
21.20.6.21 977225.0047 997423.5149
21.24.6.24 977223.5182 997410.3145
21.7.3.8 977230.3478 997412.4149
21.9.6.21 977228.9769 997410.9059
22.1.6.22 977207.4349 997550.9113
22.12A.5.15 977189.6955 997541.9432
22.13.3.8 977189.8573 997544.4555
22.15.5.19 977194.7057 997544.1626
22.3.5.16 977207.8468 997549.3144
22.3A.5.16 977207.8273 997549.3671
22.3B.5.16 977207.791 997549.4431
22.6.6.24 977207.8982 997549.8851
22.7.5.19 977205.6852 997549.4023
23.10.5.15 977169.2005 997545.3048
23.102.3.12 977181.5606 997544.3802
23.103.5.19 977177.6321 997540.5092
23.12.12A.13.5.19 977169.8056 997548.2476
23.15.5.15 977168.1553 997550.842
23.17.5.15 977167.6131 997553.8353
23.20.5.15 977166.3956 997554.4405
23.21.3.13 977170.9239 997547.0514
23.33.34.3.8 977173.4781 997540.2877
23.34A.3.12 977173.6217 997540.5956
23.40.3.13 977172.0783 997546.4583
23.46.5.15 977175.1549 997548.3177
23.4B.3.8 977170.1423 997539.7155
23.5.5.15 977171.2879 997541.4115
23.54.55.5.19 977177.7894 997538.0645
23.57.5.15 977179.5599 997539.7143
23.64.6.24 977178.6537 997543.386
23.65.6.20 977178.1997 997544.0517
23.75.5.15 977181.289 997539.814
23.80.5.15 977185.7829 997541.5492
23.81.3.8 977184.1516 997543.282
23.86.6.20 977186.8023 997544.2538
23.88.3.9 977188.0014 997542.7413
23.94.3.8 977187.3889 997545.6128
24.12.5.19 977193.4915 997482.3217
24.14.5.19 977190.3242 997481.6441
24.15.3.12 977186.733 997489.1182
24.16.5.16 977188.5916 997489.7481
24.17.5.16 977189.1424 997489.9245
24.19.6.20 977188.616 997493.4149
24.2.5.15 977195.9575 997494.4368
24.20.5.15 977187.4441 997494.9477
24.21.5.16 977187.2295 997486.6335
24.26.3.8 977181.5786 997497.0297
24.29.6.22 977182.8029 997492.574
24.3.5.16 977190.3337 997499.1044
24.32.3.9 977185.6363 997489.0047
24.33.5.15 977184.193 997488.8607
24.34.5.15 977182.9042 997489.3871
24.35.3.9 977184.9535 997487.8798
24.36.5.15 977185.4799 997486.5528
