ID_original Tipo_de_rasgo ID_resumido Grupo X Y Forma Total_ceramica Total_liticos Total_macrorestos Total_oro Total_fauna Total_volantes
11.218.5.16 Indefinido 11.218 3 977146.274 997397.8918 Oval 0 0 0 0 0 0
11.331.5.14 Indefinido 11.331 3 977143.2338 997384.0471 Rectangular 0 1 0 0 0 0
11.338.6.20 Negativo 11.338 3 977143.5779 997383.3123 Rectangular 0 2 3 0 0 0
11.36.6.24 Negativo 11.36 3 977165.1011 997400.1416 Irregular 0 0 0 0 0 0
11.38.5.15 Indefinido 11.38 3 977168.5229 997400.0333 Circular 0 0 0 0 0 0
11.380.3.12.2 Deposito 11.38 3 977156.1215 997413.7554 Irregular 0 1 0 0 0 0
11.413.5.19 Indefinido 11.413 3 977166.418 997416.8717 Irregular 0 1 0 0 0 0
11.417.3.12 Deposito 11.417 3 977169.9197 997417.5032 Irregular 1 1 0 0 0 0
11.421.3.8 Deposito 11.421 3 977169.2352 997421.61 Circular 2 1 0 0 0 0
11.429.6.23 Negativo 11.429 3 977148.0479 997419.6141 Cuadrangular 2 2 0 0 0 0
11.430.5.18 Indefinido 11.43 3 977162.0598 997417.2018 Cuadrangular 1 3 0 0 0 0
11.434.6.21 Negativo 11.434 3 977165.9556 997418.9044 Circular 1 1 0 0 0 0
11.435.5.18 Indefinido 11.435 3 977157.7045 997422.146 Cuadrangular 0 0 0 0 0 0
11.610.5.18 Indefinido 11.61 3 977154.4652 997414.5658 Cuadrangular 0 0 0 0 0 0
11.77.3.8.3 Deposito 11.77 3 977169.2479 997382.9308 Circular 0 0 0 0 0 0
110.2.6.22 Negativo 110.2 1 977019.3997 997291.8607 Oval 0 0 0 0 0 0
110.3.6.22 Negativo 110.3 1 977016.7485 997288.553 Oval 0 0 0 0 0 0
111.3.5.16 Indefinido 111.3 1 976968.0867 997384.4442 Oval 0 0 0 0 0 0
111.4.5.16 Indefinido 111.4 1 976965.3172 997397.9415 Oval 0 0 0 0 0 0
111.5.5.15 Indefinido 111.5 1 976966.4864 997400.2239 Circular 0 0 0 0 0 0
111.7.5.16 Indefinido 111.7 1 976969.2303 997400.7343 Oval 0 0 0 0 0 0
111A.12.5.19 Indefinido 111A.12 1 976962.1557 997388.877 Irregular 0 0 0 0 0 0
111A.2.5.15 Indefinido 111A.2 1 976972.0087 997406.0643 Circular 0 0 0 0 0 0
112.14.3.11 Deposito 112.14 1 976980.2664 997371.7533 Cuadrangular 0 13 0 0 0 0
112.19.5.16 Indefinido 112.19 1 976972.3066 997365.3786 Oval 0 2 0 0 0 0
112.22.6.22 Negativo 112.22 1 976982.3016 997369.1598 Oval 0 0 0 0 0 0
112.26.3.11 Deposito 112.26 1 976977.1126 997377.0881 Cuadrangular 0 0 0 0 0 0
112.27.3.11 Deposito 112.27 1 976981.668 997382.7764 Cuadrangular 0 0 0 0 0 0
112.8.5.18 Indefinido 112.8 1 976975.2471 997373.1056 Cuadrangular 0 1 0 0 0 0
112A.31.5.16 Indefinido 112A.31 1 976966.5339 997372.4447 Oval 0 0 0 0 0 0
113.11.6.24 Negativo 113.11 1 976975.9014 997357.0319 Irregular 0 0 0 0 0 0
113.14.5.19 Indefinido 113.14 1 976980.4222 997359.9286 Irregular 0 1 0 0 0 0
113.15.6.24 Negativo 113.15 1 976984.3695 997361.1696 Irregular 0 0 0 0 0 0
113.16.3.13 Deposito 113.16 1 976977.775 997362.7559 NA 0 1 0 0 0 0
113.6.6.21 Negativo 113.6 1 976981.0894 997350.1766 Circular 0 0 0 0 0 0
113.8.6.21 Negativo 113.8 1 976979.8188 997357.0704 Circular 0 0 0 0 0 0
113A.20.3.12 Deposito 113A.20 1 976973.3943 997345.2192 Irregular 0 0 0 0 0 0
114.1.5.16 Indefinido 114.1 1 976981.1011 997336.3282 Oval 0 0 0 0 0 0
114.2.3.13 Deposito 114.2 1 976983.7435 997334.3286 NA 0 1 0 0 0 0
114.3.6.21 Negativo 114.3 1 976981.5225 997332.4781 Circular 0 0 0 0 0 0
114.6.3.9 Deposito 114.6 1 976987.1694 997327.4289 Oval 26 5 101 0 0 0
114.8.5.15 Indefinido 114.8 1 976984.6488 997328.0365 Circular 0 0 0 0 0 0
115.1.6.21 Negativo 115.1 1 976983.7911 997322.7732 Circular 0 0 0 0 0 0
115.10.6.21 Negativo 115.1 1 976990.4093 997321.882 Circular 0 0 0 0 0 0
115.11.6.24 Negativo 115.11 1 976992.0437 997320.1998 Irregular 0 0 0 0 0 0
115.13.3.8 Deposito 115.13 1 976996.1783 997319.7249 Circular 0 1 0 0 0 0
115.16.3.11 Deposito 115.16 1 976997.6369 997317.0482 Cuadrangular 0 1 0 0 0 0
115.19.3.9 Deposito 115.19 1 976990.6755 997315.8072 Oval 25 0 0 0 0 0
115.21.3.8 Deposito 115.21 1 976997.2574 997312.8086 Circular 2 1 0 1 0 2
115.23.3.8 Deposito 115.23 1 976990.5906 997310.2307 Circular 4 1 0 0 0 0
115.3.6.21 Negativo 115.3 1 976989.3132 997324.9463 Circular 0 0 0 0 0 0
115.38.5.14 Indefinido 115.38 1 976985.6129 997305.1642 Rectangular 0 1 0 0 0 0
115.4.3.11 Deposito 115.4 1 976990.5748 997326.1721 Cuadrangular 0 6 0 0 0 0
115.5.5.16 Indefinido 115.5 1 976995.7748 997323.7203 Oval 0 0 0 0 0 0
115.6.6.21 Negativo 115.6 1 976984.2932 997322.0567 Circular 0 0 0 0 0 0
115.9.6.21 Negativo 115.9 1 976989.3903 997321.1675 Circular 0 0 0 0 0 0
116.1.3.11 Deposito 116.1 1 976999.4812 997307.592 Cuadrangular 8 3 0 0 0 0
116.12.3.11 Deposito 116.12 1 976989.7469 997304.8643 Cuadrangular 0 1 0 0 0 0
116.2.3.12 Deposito 116.2 1 976997.9001 997306.7032 Irregular 0 1 0 0 0 0
116.22A.3.12 Deposito 116.22A 1 976992.5203 997300.703 Irregular 0 1 0 0 0 0
116.26.5.15 Indefinido 116.26 1 976987.928 997295.8578 Circular 0 0 0 0 0 0
116.2A.3.12 Deposito 116.2A 1 976997.269 997306.0161 Irregular 0 0 0 0 0 0
