Corte Cuadricula Nivel Tipos_Ceramicos Diametro Forma
4 G4 1 Desgrasante_Gris 14 Cuenco
4 F9 1 Desgrasante_Gris 10 Olla
4 G10 1 Desgrasante_Gris 14 Olla
4 G10 1 Desgrasante_Gris 14 Olla
4 G10 1 Desgrasante_Gris 16 Olla
4 G6 1 Desgrasante_Gris NA Cuenco
4 G6 1 Desgrasante_Gris 6 Cuenco
4 G10 1 Funza_Cuarzo_Abundante 10 Olla
4 G6 1 Funza_Cuarzo_Abundante 20 Cuenco
4 G12 1 Desgrasante_Gris 22 Olla
4 G2 1 Desgrasante_Gris NA Olla
4 G6 1 Mosquera_Roca_Triturada 26 Cuenco
4 G8 1 Funza_Cuarzo_Abundante 8 Olla
4 G8 1 Funza_Cuarzo_Abundante 8 Olla
4 G7 1 Funza_Cuarzo_Abundante NA Cuenco
4 G7 1 Funza_Cuarzo_Abundante 24 Olla
4 G7 1 Funza_Cuarzo_Abundante 32 Cuenco
4 G7 1 Mosquera_Roca_Triturada 10 Olla
4 G7 1 Guatavita_Desgrasante_Tiesto 6 Cuenco
4 G8 1 Desgrasante_Gris NA Cuenco
4 G6 1 Funza_Cuarzo_Abundante 22 Olla
4 G6 1 Funza_Cuarzo_Abundante 12 Olla
4 G9 1 Desgrasante_Gris NA Cuenco
4 G9 1 Desgrasante_Gris 12 Cuenco
4 G5 1 Desgrasante_Gris 14 Olla
4 H10 1 Desgrasante_Gris NA Cuenco
4 G4 1 Funza_Cuarzo_Abundante NA Olla
4 G4 1 Funza_Cuarzo_Abundante 18 Olla
4 G3 1 Funza_Cuarzo_Abundante 12 Olla
4 G9 1 Desgrasante_Gris 34 Olla
4 H10 1 Desgrasante_Gris NA Cuenco
4 H10 1 Desgrasante_Gris NA Cuenco
4 G2 1 Funza_Cuarzo_Abundante 18 Olla
4 H10 1 Funza_Cuarzo_Abundante 32 Cuenco
4 H10 1 Funza_Cuarzo_Abundante 14 Cuenco
4 G9 1 Desgrasante_Gris NA Olla
4 H10 1 Desgrasante_Gris NA Olla
4 H13 1 Desgrasante_Gris 26 Olla
4 H11 1 Mosquera_Roca_Triturada 26 Cuenco
4 K 1 Funza_Cuarzo_Abundante 12 Cuenco
4 J15 1 Tunjuelo_Laminar 30 Cuenco
4 J15 1 Funza_Cuarzo_Abundante 30 Cuenco
4 J14 1 Desgrasante_Gris 26 Cuenco
4 J13 1 Desgrasante_Gris 18 Cuenco
4 J13 1 Funza_Cuarzo_Abundante 46 Olla
4 J12 1 Desgrasante_Gris 28 Olla
4 J9 1 Funza_Cuarzo_Abundante 34 Olla
4 J8 1 Funza_Cuarzo_Abundante 12 Cuenco
4 J8 1 Mosquera_Rojo_Inciso 48 Olla
4 J8 1 Mosquera_Roca_Triturada 22 Cuenco
4 J5 1 Desgrasante_Gris 8 Cuenco
